group,site_title,active,first_seen,last_seen,victim_count,language,login_gate,screenshot_url,first_party_victims,mirrors_up
qilin,,yes,2022-10-08,2026-09-04,2256,,,,41,0
lockbit3,,yes,2021-12-26,2025-12-05,2016,,,,68,0
akira,,yes,2023-04-12,2026-09-04,1595,,,,0,0
play,PLAY NEWS,no,2022-11-26,2026-08-31,1308,unknown,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/play/20260612T033041Z.png,0,0
clop,DDOS Protection,yes,2020-03-13,2026-08-14,1300,unknown,yes,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/clop/20260826T033511Z.png,0,0
lockbit2,,no,2021-09-09,2022-06-28,1002,,,,0,0
incransom,Disclosures,yes,2023-08-06,2026-09-03,932,unknown,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/incransom/20260830T033530Z.png,0,0
ransomhub,,no,2023-03-09,2025-03-31,842,,,,0,0
thegentlemen,Gentlecloud Protection,no,2023-02-28,2026-09-01,812,unknown,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/thegentlemen/20260824T033158Z.png,0,0
alphv,,no,2021-09-09,2024-03-03,731,,,,0,0
dragonforce,DragonForce | Recovery,yes,2022-10-20,2026-08-24,645,en,yes,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/dragonforce/20260826T033529Z.png,0,0
bianlian,,no,2022-07-14,2025-03-31,552,,,,0,0
safepay,Safepay Blog,yes,2023-11-10,2026-08-24,549,en,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/safepay/20260826T033240Z.png,22,0
blackbasta,,no,2022-04-26,2025-01-11,523,,,,0,0
medusa,,no,2023-01-11,2026-02-13,517,,,,0,0
8base,,no,2022-04-03,2025-02-01,455,,,,0,0
lynx,Lynx,yes,2023-05-22,2026-08-27,417,unknown,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/lynx/20260826T033625Z.png,0,0
everest,Everest,yes,2021-09-09,2026-09-01,395,en,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/everest/20260826T033555Z.png,205,0
lockbit5,LockBit 5.0 blog Access Queue,yes,2023-04-17,2026-09-04,354,en,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/lockbit5/20260828T033034Z.png,0,0
conti,,no,2020-07-31,2022-06-07,351,,,,0,0
dispossessor,,no,2020-02-03,2024-08-11,344,,,,0,0
nightspire,RaaS Service Started,yes,2025-02-17,2026-08-31,322,unknown,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/nightspire/20260823T033334Z.png,16,0
pysa,,no,2020-07-01,2022-09-20,309,,,,0,0
hunters,,no,2021-09-09,2025-05-27,307,,,,0,0
killsec,,yes,2024-02-21,2026-08-23,285,unknown,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/killsec/20260826T033121Z.png,214,0
rhysida,Rhysida,yes,2023-06-05,2026-09-01,281,en,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/rhysida/20260831T033042Z.png,0,0
sinobi,Sinobi,no,2025-03-24,2026-05-05,274,unknown,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/sinobi/20260526T033318Z.png,0,0
cactus,,no,2023-07-03,2025-03-17,248,unknown,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/cactus/20260823T033211Z.png,0,0
royal,,no,2022-11-04,2023-07-19,211,,,,0,0
hive,,no,2021-08-14,2023-01-16,208,,,,0,0
coinbasecartel,System Breach • Coinbasecartel,no,2023-05-26,2026-08-23,206,unknown,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/coinbasecartel/20260825T033023Z.png,0,0
ransomhouse,©RansomHouse,yes,2021-06-01,2026-09-01,206,unknown,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/ransomhouse/20260903T033031Z.png,0,0
fog,,no,2021-12-20,2025-03-20,189,,,,0,0
stormous,,no,2022-03-22,2026-06-28,188,,,,0,0
vicesociety,,no,2021-05-31,2023-06-20,188,,,,0,0
