group,victim,country,sector,discovered,post_url,status,delisted_date,data_size,file_count,publication_status,leak_url,first_party
falcon,Globus Medical,US,Healthcare,2026-08-30,http://i7loab6thvz4lb7jdr3qoeumbvilwhbgnwsctnlfmvsv7g5s3vsiw6yd.onion/#GlobusMedical,listed,,2.38 TB compressed Â· 2.96 TB uncompressed,,published,http://i7loab6thvz4lb7jdr3qoeumbvilwhbgnwsctnlfmvsv7g5s3vsiw6yd.onion,yes
falcon,DistributionNOW (DNOW Inc.),US,Manufacturing,2026-08-30,http://i7loab6thvz4lb7jdr3qoeumbvilwhbgnwsctnlfmvsv7g5s3vsiw6yd.onion/#distribution_now,listed,,,,,,no
qilin,Crystalpharmatech,,Healthcare,2026-08-30,http://ijzn3sicrcy7guixkzjkib4ukbiilwc3xhnmby4mcbccnsd7j2rekvqd.onion/site/blog?uuid=9cc2365a-5fb6-4668-a614-7e65684bb18b,listed,,,,,,no
qilin,Absolute Consultancy Services,GB,Professional Services,2026-08-30,http://ijzn3sicrcy7guixkzjkib4ukbiilwc3xhnmby4mcbccnsd7j2rekvqd.onion/site/blog?uuid=633d975c-e73f-462e-95fb-a372b53b600a,listed,,,,,,no
qilin,Black Cat Engineering Construction Wll,QA,Manufacturing,2026-08-30,http://ijzn3sicrcy7guixkzjkib4ukbiilwc3xhnmby4mcbccnsd7j2rekvqd.onion/site/blog?uuid=9b7d483d-aaa7-4da7-8724-a96e7005d141,listed,,,,,,no
thegentlemen,Glassdoor,US,Professional Services,2026-08-30,http://tezwsse5czllksjb7cwp65rvnk4oobmzti2znn42i43bjdfd2prqqkad.onion,listed,,,,,,no
thegentlemen,G R Infraprojects,IN,Manufacturing,2026-08-30,http://tezwsse5czllksjb7cwp65rvnk4oobmzti2znn42i43bjdfd2prqqkad.onion,listed,,,,,,no
thegentlemen,Northwest Trophy,US,Retail & E-Commerce,2026-08-30,http://tezwsse5czllksjb7cwp65rvnk4oobmzti2znn42i43bjdfd2prqqkad.onion,listed,,,,,,no
thegentlemen,General Gruppo,IT,Manufacturing,2026-08-30,http://tezwsse5czllksjb7cwp65rvnk4oobmzti2znn42i43bjdfd2prqqkad.onion,listed,,,,,,no
thegentlemen,Ixa Systems,CH,Technology,2026-08-30,http://tezwsse5czllksjb7cwp65rvnk4oobmzti2znn42i43bjdfd2prqqkad.onion,listed,,,,,,no
thegentlemen,Tecno Accion,AR,Technology,2026-08-30,http://tezwsse5czllksjb7cwp65rvnk4oobmzti2znn42i43bjdfd2prqqkad.onion,listed,,,,,,no
thegentlemen,Probe Test System,TW,Technology,2026-08-30,http://tezwsse5czllksjb7cwp65rvnk4oobmzti2znn42i43bjdfd2prqqkad.onion,listed,,,,,,no
thegentlemen,SUNSEA,TH,Other,2026-08-30,http://tezwsse5czllksjb7cwp65rvnk4oobmzti2znn42i43bjdfd2prqqkad.onion,listed,,,,,,no
thegentlemen,Thai Film Industries PCL,TH,Other,2026-08-30,http://tezwsse5czllksjb7cwp65rvnk4oobmzti2znn42i43bjdfd2prqqkad.onion,listed,,,,,,no
thegentlemen,Adkisson Group,US,,2026-08-30,http://tezwsse5czllksjb7cwp65rvnk4oobmzti2znn42i43bjdfd2prqqkad.onion,listed,,,,,,no
thegentlemen,ESB Puerto Rico Corp,PR,Energy & Utilities,2026-08-30,http://tezwsse5czllksjb7cwp65rvnk4oobmzti2znn42i43bjdfd2prqqkad.onion,listed,,,,,,no
thegentlemen,Nutrypollo,MX,Agriculture and Food Production,2026-08-30,http://tezwsse5czllksjb7cwp65rvnk4oobmzti2znn42i43bjdfd2prqqkad.onion,listed,,,,,,no
thegentlemen,Brebur,GB,,2026-08-30,http://tezwsse5czllksjb7cwp65rvnk4oobmzti2znn42i43bjdfd2prqqkad.onion,listed,,,,,,no
thegentlemen,MB Associates,GB,Professional Services,2026-08-30,http://tezwsse5czllksjb7cwp65rvnk4oobmzti2znn42i43bjdfd2prqqkad.onion,listed,,,,,,no
thegentlemen,Exacta Optech Labcenter,BR,Healthcare,2026-08-30,http://tezwsse5czllksjb7cwp65rvnk4oobmzti2znn42i43bjdfd2prqqkad.onion,listed,,,,,,no
thegentlemen,Servicios Aereos Estrella,MX,Transportation,2026-08-30,http://tezwsse5czllksjb7cwp65rvnk4oobmzti2znn42i43bjdfd2prqqkad.onion,listed,,,,,,no
zawoo,zenithtechnology,NZ,Technology,2026-08-30,https://fyenuhkq3pfhnbpidj5jm2fl2lryxip4byhg6eozynrnlomu4szf2nyd.onion/index.html?indexId=mtfszhtggfdsg,listed,,,,,,no
zawoo,fessport,DE,,2026-08-30,https://fyenuhkq3pfhnbpidj5jm2fl2lryxip4byhg6eozynrnlomu4szf2nyd.onion/index.html?indexId=htrfdrghbtnyr,listed,,,,,,no
zawoo,esopartnerscpa,CN,Professional Services,2026-08-30,https://fyenuhkq3pfhnbpidj5jm2fl2lryxip4byhg6eozynrnlomu4szf2nyd.onion/index.html?indexId=vrfdeyhnbyuki,listed,,,,,,no
zawoo,vectorsoft.de,DE,Technology,2026-08-30,https://fyenuhkq3pfhnbpidj5jm2fl2lryxip4byhg6eozynrnlomu4szf2nyd.onion/index.html?indexId=mocxosdpjsdpg,listed,,,,,,no
zawoo,winterdienst-berlin.com,DE,Other,2026-08-30,https://fyenuhkq3pfhnbpidj5jm2fl2lryxip4byhg6eozynrnlomu4szf2nyd.onion/index.html?indexId=vhrtnmuykyuko,listed,,,,,,no
zawoo,hd-werkstaetten.de,DE,Manufacturing,2026-08-30,https://fyenuhkq3pfhnbpidj5jm2fl2lryxip4byhg6eozynrnlomu4szf2nyd.onion/index.html?indexId=ptievcdnmksdn,listed,,,,,,no
zawoo,ng-engineering.de,DE,Professional Services,2026-08-30,https://fyenuhkq3pfhnbpidj5jm2fl2lryxip4byhg6eozynrnlomu4szf2nyd.onion/index.html?indexId=nczxoemvfisos,listed,,,,,,no
