onion_url,kind,operator,site_name,status,screenshot_url,reachability,last_checked
http://cisland46psf56panbm2japxoxeguqekmataim54kn2ysucnk3yo7eyd.onion,combolist,Cracking Island,Cracking Island,live,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-underground/cisland46psf56panbm2japxoxeguqekmataim54kn2ysucnk3yo7eyd.onion/screenshot_20260826T181444Z.png,,
http://pornhwpwonwzghhwrctmwacfgwxl6myngjfrvt3ddaxapjid7vyqkdid.onion,combolist,Fresh Hacked Accounts,Pornhub Premium Accounts,live,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-underground/pornhwpwonwzghhwrctmwacfgwxl6myngjfrvt3ddaxapjid7vyqkdid.onion/screenshot_20260827T180842Z.png,,
http://cisland45eg2n524cp42zln6srzf27ewvqo4bcmljxiuskagxd5sf2qd.onion,combolist,,Cracking Island,live,,,
http://jwzzevnbrletxx7e4nqmfv73mre7rjik6nktidduppjcei6xr75aybyd.onion,combolist,,,live,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-underground/jwzzevnbrletxx7e4nqmfv73mre7rjik6nktidduppjcei6xr75aybyd.onion/screenshot_20260828T190022Z.png,,
http://2iuqaneelp3ggqgjjqfdqddhdrxvxllyala7kovmb2odlqnqnqbsxfad.onion,data_leak,000webhost hack,000webhost hack,live,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-underground/2iuqaneelp3ggqgjjqfdqddhdrxvxllyala7kovmb2odlqnqnqbsxfad.onion/screenshot_20260824T003207Z.png,,
http://2iuqaneetq7ef7m67fozvnqbf7wkfvvakohi3ebfbhwmxpt3ydq5kuad.onion,data_leak,000webhost hack,000webhost hack,live,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-underground/2iuqaneetq7ef7m67fozvnqbf7wkfvvakohi3ebfbhwmxpt3ydq5kuad.onion/screenshot_20260827T220826Z.png,,
http://3ev4metjirohtdpshsqlkrqcmxq6zu3d7obrdhglpy5jpbr7whmlfgqd.onion,data_leak,Abyss,Abyss-data,live,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-underground/3ev4metjirohtdpshsqlkrqcmxq6zu3d7obrdhglpy5jpbr7whmlfgqd.onion/screenshot_20260827T182023Z.png,,
http://dhnsppqjaaa22lsqxl2tfhji4ca43743kubltnodvsft3hkvai77p6ad.onion,data_leak,AiLock,AiLock Data Leaks,live,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-underground/dhnsppqjaaa22lsqxl2tfhji4ca43743kubltnodvsft3hkvai77p6ad.onion/screenshot_20260828T030135Z.png,,
http://mdzuovzilmergptrjog55roo7ug6agljssorgcmecfhwfka5tfn24gyd.onion,data_leak,ANCHOR GATES,DOCUMENTS FOR SALE,live,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-underground/mdzuovzilmergptrjog55roo7ug6agljssorgcmecfhwfka5tfn24gyd.onion/screenshot_20260829T144452Z.png,,
http://ptyctpveqfevlukjw4hpdh6nb5oiemq6ek6tuuvxbtrfghvuutvscsid.onion,data_leak,Arachna Leak,Arachna Leak,live,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-underground/ptyctpveqfevlukjw4hpdh6nb5oiemq6ek6tuuvxbtrfghvuutvscsid.onion/screenshot_20260813T080250Z.png,,
http://t33zoj4qwv455fog7qnb2azi5xcdxkixughmmduzbw2rtdgryqfbh6id.onion,data_leak,BAKAXAH,Verifying...,live,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-underground/t33zoj4qwv455fog7qnb2azi5xcdxkixughmmduzbw2rtdgryqfbh6id.onion/screenshot_20260819T030532Z.png,,
http://basherq53eniermxovo3bkduw5qqq5bkqcml3qictfmamgvmzovykyqd.onion,data_leak,BASHE,BASHE,live,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-underground/basherq53eniermxovo3bkduw5qqq5bkqcml3qictfmamgvmzovykyqd.onion/screenshot_20260828T010132Z.png,,
http://bashete6nwy3ukboeuqwbx7allutwznjipyghbizrrljn4x7f6d7o6qd.onion,data_leak,BASHE,BASHE,live,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-underground/bashete6nwy3ukboeuqwbx7allutwznjipyghbizrrljn4x7f6d7o6qd.onion/screenshot_20260829T133024Z.png,,
http://bashex7mokreyoxl6wlswxl4foi7okgs7or7aergnuiockuoq35yt3ad.onion,data_leak,BASHE,BASHE,live,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-underground/bashex7mokreyoxl6wlswxl4foi7okgs7or7aergnuiockuoq35yt3ad.onion/screenshot_20260828T070027Z.png,,
http://basherq5azsa755sasb4bhj3sbnjrcd5jseq24dndcgcqcomqaqvglid.onion,data_leak,BASHE,BASHE,live,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-underground/basherq5azsa755sasb4bhj3sbnjrcd5jseq24dndcgcqcomqaqvglid.onion/screenshot_20260827T220627Z.png,,
http://bashete63b3gcijfofpw6fmn3rwnmyi5aclp55n6awcfbexivexbhyad.onion,data_leak,BASHE,BASHE,live,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-underground/bashete63b3gcijfofpw6fmn3rwnmyi5aclp55n6awcfbexivexbhyad.onion/screenshot_20260824T070050Z.png,,
