group,victim,country,sector,discovered,post_url,status,delisted_date,data_size,file_count,publication_status,leak_url,first_party
storm,Petrocare Construction,CA,Energy & Utilities,2026-09-03,http://yqhecvqtdvq6p7duqcgw2qca77spbgakxcoibtx6zpvfshltsbbbhfqd.onion/company/6a98449c4cc2b2e7e76b5a97,listed,,,,,,no
storm,"Star Aviation, Inc",US,Transportation,2026-09-03,http://yqhecvqtdvq6p7duqcgw2qca77spbgakxcoibtx6zpvfshltsbbbhfqd.onion/company/6a983fcc4cc2b2e7e76b5a95,listed,,,,,,no
storm,GSAC Auto Financing,US,Financial Services,2026-09-03,http://yqhecvqtdvq6p7duqcgw2qca77spbgakxcoibtx6zpvfshltsbbbhfqd.onion/company/6a9843bb4cc2b2e7e76b5a96,listed,,,,,,no
storm,GSAC,US,,2026-09-03,http://yqhecvqtdvq6p7duqcgw2qca77spbgakxcoibtx6zpvfshltsbbbhfqd.onion/company/6a9732bb4cc2b2e7e76b5a94,listed,,,,,,no
storm,Superior Ag,US,Agriculture and Food Production,2026-09-03,http://yqhecvqtdvq6p7duqcgw2qca77spbgakxcoibtx6zpvfshltsbbbhfqd.onion/company/6a9730774cc2b2e7e76b5a90,listed,,,,,,no
storm,Chicago Partners Wealth Advisors,US,Financial Services,2026-09-03,http://yqhecvqtdvq6p7duqcgw2qca77spbgakxcoibtx6zpvfshltsbbbhfqd.onion/company/6a972fb54cc2b2e7e76b5a8f,listed,,,,,,no
storm,Macquarrie,AU,Financial Services,2026-09-03,http://yqhecvqtdvq6p7duqcgw2qca77spbgakxcoibtx6zpvfshltsbbbhfqd.onion/company/6a972f404cc2b2e7e76b5a8e,listed,,,,,,no
storm,SITES Medical,US,Healthcare,2026-09-03,http://yqhecvqtdvq6p7duqcgw2qca77spbgakxcoibtx6zpvfshltsbbbhfqd.onion/company/6a972ecf4cc2b2e7e76b5a8d,listed,,,,,,no
silentransomgroup,Greenberg Traurig,US,Professional Services,2026-09-02,,listed,,,,,,no
silentransomgroup,G... ...g,,,2026-09-02,https://business-data-leaks.com/about#26536625eb140b8cf59490017,listed,,,,,,no
silentransomgroup,S... M...,,,2026-09-02,https://business-data-leaks.com/about#abe7113d195c4413ddc3aed20,listed,,,,,,no
direwolf,Cartrack Holdings,ZA,Transportation,2026-09-02,http://direwolfcdkv5whaz2spehizdg22jsuf5aeje4asmetpbt6ri4jnd4qd.onion/api/public/articles/120,listed,,,,,,no
direwolf,PTT Oil and Retail Business,TH,Energy & Utilities,2026-09-02,http://direwolfcdkv5whaz2spehizdg22jsuf5aeje4asmetpbt6ri4jnd4qd.onion/api/public/articles/119,listed,,,,,,no
wallstreet,Ormond Beach Florida,US,,2026-09-02,http://4dwiv37h7hhuhjpvtn72hme4ylcv3qoe65arfc6mbweal7als6ma7pyd.onion,listed,,,,,,no
