group,victim,country,sector,discovered,post_url,status,delisted_date,first_party
emperador,Judicial Branch of the Province of Jujuy,AR,Government & Defense,2026-09-05,/post/judicial-branch-of-the-province-of-jujuy/,listed,,yes
spacebears,Sports Endeavors,US,Retail & E-Commerce,2026-09-04,http://5butbkrljkaorg5maepuca25oma7eiwo6a2rlhvkblb4v6mf3ki2ovid.onion/companies/75/sports-endeavors,listed,,yes
qilin,AP CAPITAL PARTNERS LIMITED,,Financial Services,2026-09-04,http://ijzn3sicrcy7guixkzjkib4ukbiilwc3xhnmby4mcbccnsd7j2rekvqd.onion/site/blog?uuid=1494ea59-5072-4eaa-a7ec-92aa902485ad,listed,,yes
tridentlocker,SouthernCarlson,,,2026-09-04,http://tridentfrdy6jydwywfx4vx422vnto7pktao2gyx2qdcwjanogq454ad.onion/article/5589e436-5387-4f33-99da-6c76ecf35856,listed,,yes
qilin,Commission de la construction du Quebec (CCQ),CA,Government & Defense,2026-09-04,http://ijzn3sicrcy7guixkzjkib4ukbiilwc3xhnmby4mcbccnsd7j2rekvqd.onion/site/blog?uuid=a2710463-aa0e-4555-be9c-57188ff6434c,listed,,yes
auditteam,mansurovogroup,RU,Other,2026-09-04,http://6tdqqaxftvradka5d2frzgwixis7fmro7rfh4ettzcx7jfapkebe6jad.onion/entity/17E19C9B6B41D33F,listed,,yes
auditteam,PIT.local,CO,,2026-09-04,http://6tdqqaxftvradka5d2frzgwixis7fmro7rfh4ettzcx7jfapkebe6jad.onion/entity/6B55D91EA16DCB48,listed,,yes
qilin,Complete Packaging Solutions,,Manufacturing,2026-09-04,http://ijzn3sicrcy7guixkzjkib4ukbiilwc3xhnmby4mcbccnsd7j2rekvqd.onion/site/blog?uuid=adec1c55-2d8f-4001-b107-5bc6e3433690,listed,,yes
qilin,Tanner,CL,Other,2026-09-04,http://ijzn3sicrcy7guixkzjkib4ukbiilwc3xhnmby4mcbccnsd7j2rekvqd.onion/site/blog?uuid=285a4356-5f48-45b3-b1ce-a250aab638a8,listed,,yes
spacebears,"Schwartz, Giannini, Lantsberger & Adamson (SGLA)",US,Professional Services,2026-09-04,http://5butbkrljkaorg5maepuca25oma7eiwo6a2rlhvkblb4v6mf3ki2ovid.onion/companies/74/schwartz-giannini-lantsberger-adamson-sgla,listed,,yes
